efpd,master_bu,ras_bu,delta_bu,master_ppm,ras_ppm,delta_ppm,master_keff,ras_keff,delta_pcm,master_ao,ras_ao,delta_ao,master_fqn,ras_fqn,delta_fqn,master_frn,ras_frn,delta_frn,master_fqp,ras_fqp,delta_fqp,master_frp,ras_frp,delta_frp,master_tfavg_c,ras_tfavg_c,delta_tfavg_c,master_tmavg_c,ras_tmavg_c,delta_tmavg_c,master_dmavg,ras_dmavg,delta_dmavg
240.0,9.263,9.262968998310486,-3.100168951419846e-05,551.96,546.2625007705966,-5.697499229403434,1.0,0.9999843757536525,-1.5624490468324481,-0.016,-0.013215746408154781,0.002784253591845219,1.5744,1.5669688781343034,-0.0074311218656966105,1.2872,1.2819595711980287,-0.005240428801971175,1.7279,1.7084749432113442,-0.019425056788655803,1.4013,1.3984886538960706,-0.002811346103929413,639.83,676.293106626955,36.46310662695498,307.91,307.88490039163776,-0.0250996083622681,0.707797,0.7077952180630315,-1.7819369685367903e-06
255.0,9.842,9.841905445293765,-9.455470623542794e-05,520.37,514.5193198529859,-5.850680147014145,1.0,0.9999999314161496,-0.006858385503960562,-0.0,0.02177956996246499,0.02177956996246499,1.5731,1.5928142269030394,0.019714226903039478,1.2776,1.2727840531107943,-0.0048159468892057244,1.7308,1.7415231522653767,0.01072315226537679,1.389,1.3868645417191567,-0.002135458280843272,636.2,674.5439947217284,38.343994721728336,307.8,307.92760091343337,0.1276009134333549,0.708112,0.7077542101203387,-0.0003577898796612855
270.0,10.4209,10.420846904426837,-5.309557316302005e-05,485.35,479.76933308072785,-5.580666919272176,1.0,0.9999999064358777,-0.009356413110950257,0.0137,0.00012660627978132409,-0.013573393720218676,1.5879,1.538625242048082,-0.04927475795191816,1.2703,1.2649770428456877,-0.005322957154312302,1.7474,1.6762064499310094,-0.07119355006899064,1.3799,1.3789889491745526,-0.0009110508254472904,632.18,672.5052455862891,40.32524558628916,307.69,307.639643591952,-0.05035640804800323,0.70841,0.708463969734693,5.39697346930712e-05
285.0,10.9998,10.999789617918267,-1.0382081732984716e-05,447.59,441.501653634791,-6.088346365208963,1.0,0.9999817952772052,-1.820505421279428,0.023,0.016930810687359844,-0.006069189312640156,1.6021,1.5668337201060023,-0.035266279893997776,1.2638,1.2587179263104582,-0.005082073689541833,1.7552,1.7078089265093799,-0.04739107349062022,1.3743,1.3732859758888138,-0.0010140241111862291,627.8,670.7166499975482,42.916649997548234,307.61,307.6852635257885,0.07526352578850037,0.708636,0.7084088884223543,-0.00022711157764576662
300.0,11.5788,11.578722004231622,-7.799576837719258e-05,407.84,400.9657213929257,-6.874278607074302,1.0,0.999995026249422,-0.4973775316274853,0.0283,0.019520830158073346,-0.008779169841926653,1.6043,1.5629933897015502,-0.04130661029844984,1.259,1.2536177618684357,-0.005382238131564243,1.7707,1.7014323894086372,-0.06926761059136277,1.3687,1.3678046680417695,-0.0008953319582305497,623.05,668.8286306770219,45.778630677021965,307.57,307.6464488465299,0.07644884652989958,0.708784,0.7085397900158213,-0.0002442099841786227
315.0,12.1577,12.157662644133328,-3.7355866671973104e-05,366.31,358.8897886249846,-7.420211375015413,1.0,0.9999817364072312,-1.826392633375029,0.031,0.02097398345468917,-0.01002601654531083,1.6125,1.5673765018449515,-0.04512349815504857,1.2541,1.2486862070542075,-0.005413792945792473,1.7649,1.7088011323056886,-0.05609886769431127,1.3627,1.361859862069209,-0.0008401379307909629,617.92,666.9306731069772,49.010673106977265,307.54,307.62543602193887,0.0854360219388468,0.708887,0.7086242395040316,-0.000262760495968406
330.0,12.7367,12.736598844524032,-0.00010115547596889485,323.21,315.08219665626444,-8.127803343735536,1.0,0.9999923378567895,-0.7662201919389489,0.0305,0.020951837013779274,-0.009548162986220726,1.6095,1.5661410768102937,-0.043358923189706244,1.2493,1.2438770093470863,-0.0054229906529137395,1.7673,1.7052592507634932,-0.06204074923650693,1.3567,1.3558566492812354,-0.0008433507187646239,612.39,665.0183155413828,52.62831554138279,307.54,307.62785064144157,0.0878506414415483,0.708915,0.708649789177789,-0.0002652108222109817
345.0,13.3156,13.315542240189922,-5.775981007793973e-05,279.06,270.27033644538983,-8.789663554610172,1.0,0.9999894940057912,-1.050610458586121,0.0284,0.018930824571489438,-0.009469175428510564,1.5968,1.553742589112711,-0.04305741088728898,1.2449,1.2392682618748643,-0.005631738125135621,1.7607,1.6933321409358173,-0.06736785906418263,1.3509,1.3500033296447682,-0.0008966703552317767,606.59,663.0734762259914,56.48347622599135,307.55,307.6346407376294,0.08464073762939961,0.708909,0.708660209889316,-0.00024879011068401624
360.0,13.8945,13.894467766480442,-3.2233519558388934e-05,233.8,224.46802194931874,-9.331978050681272,1.0,1.000000011575342,0.0011575341907210657,0.0251,0.017767546933562216,-0.007332453066437785,1.5803,1.5412449642012023,-0.039055035798797766,1.24,1.234766313400624,-0.005233686599376064,1.744,1.6811809847991266,-0.06281901520087341,1.3448,1.344179151597427,-0.0006208484025729266,601.07,661.0952615195478,60.02526151954771,307.58,307.65812165209695,0.07812165209696786,0.708871,0.7086281138863654,-0.00024288611363465495
375.0,14.4735,14.473404593167214,-9.540683278608242e-05,187.75,178.07722517724568,-9.67277482275432,1.0,1.0000196957693355,1.9695381419770897,0.0203,0.006852413995658566,-0.013447586004341433,1.5694,1.5164980130298265,-0.052901986970173454,1.2352,1.2303431174889872,-0.0048568825110129055,1.7201,1.655122273909209,-0.06497772609079089,1.3388,1.3384652717467023,-0.0003347282532977225,595.85,659.0706411887267,63.22064118872663,307.62,307.6689888963771,0.04898889637706816,0.70879,0.7086216092151987,-0.00016839078480135328
390.0,15.0524,15.052340799908027,-5.9200091973465874e-05,141.16,131.42589739925756,-9.734102600742432,1.0,1.0000007960348638,0.07960342300883383,0.0155,0.007330327714315187,-0.008169672285684812,1.5531,1.5119358516566603,-0.04116414834333959,1.2304,1.2258949267277914,-0.004505073272208504,1.6957,1.6497558095255869,-0.045944190474413116,1.3326,1.3325704322240342,-2.9567775965855247e-05,590.96,657.0457751191598,66.08577511915973,307.67,307.73806883171403,0.06806883171401523,0.708706,0.7084785547014243,-0.00022744529857565698
405.0,15.6313,15.631287208888548,-1.2791111451804227e-05,94.03,84.59957339347297,-9.430426606527035,1.0,0.999985455212034,-1.4544999519916502,0.0107,0.005285890617675866,-0.005414109382324134,1.5329,1.4988052342861153,-0.03409476571388459,1.2256,1.2216118781042333,-0.003988121895766694,1.6764,1.6339329117791266,-0.042467088220873306,1.3263,1.3267951725149458,0.0004951725149457964,586.22,654.9630681124927,68.74306811249267,307.71,307.7729891914729,0.06298919147292281,0.708622,0.7084102235688274,-0.00021177643117253897
420.0,16.2103,16.210233639725345,-6.636027465489747e-05,46.66,37.4831428431224,-9.176857156877595,1.0,0.9999999848035361,-0.0015196464087097183,0.0072,0.0036271620858365715,-0.0035728379141634283,1.5129,1.484499866907478,-0.028400133092521873,1.2208,1.2174937147724247,-0.0033062852275753674,1.6637,1.6163212308884352,-0.0473787691115648,1.3201,1.3211352259548061,0.001035225954806096,581.72,652.8313595669623,71.11135956696228,307.74,307.7863824696726,0.04638246967260784,0.70857,0.708388458538993,-0.00018154146100701762
